IDTransação,IDpessoal,DatadaTransação,Valor,Empresa,Categoria,Fraude
d130de23-691d-4296-8c56-28b39d4cc4f7,3c11541d-358f-4060-830f-3074e8c5faf3,2024-03-23 21:12:12,589.34,"Romero, Lopez and Harris",Eletronicos,0
5bbdff36-f067-407c-a490-f852b6bc1327,0b457b8a-08c5-4121-8417-071dd1edeb1c,2024-06-04 08:16:48,320.64,Larson Inc,Padaria,0
d3599ad6-d9c2-4bb1-a340-1b74f4dc0ed6,578e876d-a8e5-4442-a63b-93ddf5b4f33c,2024-03-07 02:54:18,741.41,Williams PLC,Padaria,0
9c260f27-d884-4a2d-a387-8bcf663cdc37,680fc1cf-6b88-4d9f-a37c-7838c8b01b94,2024-03-18 19:35:35,664.12,Peters-Williams,Padaria,0
9f589807-60dd-46e3-82e2-b4f073e7979a,f8eb4bec-8411-40ac-9211-0282adf4bd75,2024-02-04 16:09:50,851.87,Anderson Ltd,Viagens,0
85e2f93a-58c6-461c-b33b-f94c1cadfdb5,e2f3d7a2-05d4-4a50-9864-45102f2258ab,2024-02-08 15:26:44,378.88,"Williams, Clark and Johnson",Viagens,0
bf2fe693-ddd0-4de6-b072-f613fe989069,92477b24-76f7-498c-ad45-326f4e815637,2024-02-10 10:45:41,976.32,Johnson-Alvarez,Roupas,0
ee22be74-a093-4412-8f98-1106c1689b83,c96b11bf-1594-4d83-b60f-bc1d1483d22b,2024-07-06 22:05:52,914.31,"Santos, Jimenez and Holmes",Eletronicos,0
e9d8443f-ca57-46a9-951c-31ceade6d34a,328c0d39-7a57-4f6a-9e62-4890c4682517,2024-01-29 19:51:28,446.35,Pittman-Jones,Padaria,0
4cb52a04-0dc3-478b-bd2d-aef3099f8da2,c4551910-d2bf-4eba-b03e-4e97a290f775,2024-01-16 09:49:51,809.27,"Mcmahon, Williams and Adams",Viagens,0
c24332e6-32c0-45a7-a231-f03b28edfb5e,05d0c02f-5f17-40f3-8eb2-ad8ffbdc6f16,2024-05-31 23:49:39,56.94,Curtis-Gillespie,Viagens,0
01dd87e0-c418-4a51-a3d1-5992b1bc2be8,9289b5df-b3de-4fca-b08f-85e1b4bfc8bd,2024-01-13 03:20:19,962.68,"Keller, Waters and Wood",Padaria,0
430a820b-a46d-4530-9ac2-f2da3272ec3a,151ba5ec-4641-4b98-930c-3acaeaf0f310,2024-05-17 10:09:28,744.89,Pena-Strickland,Mercado,0
d416bfce-15b5-4b30-b060-e2e4343cfdd5,c49d4f3c-89b8-4409-ab53-6f26776a37fb,2024-06-05 00:26:59,134.19,Hood-Shaw,Entretenimento,1
b6a208aa-57b4-405d-a473-b61d3e9626ba,ac431208-59eb-44ae-9b90-814240ff9bb7,2024-05-02 17:52:05,666.73,"Chang, Ford and Benson",Entretenimento,0
23eeac50-b629-49b6-9db9-92d35d2432a8,1da29297-cec0-4718-8078-8085c5eead53,2024-06-30 16:58:36,742.9,Hill PLC,Padaria,0
9d5ca685-208c-42ed-983d-c21170f03713,51f052bf-af9e-43b0-ba6e-edbb65cdb0e1,2024-02-10 21:03:49,179.99,Ramirez Group,Padaria,0
563e328c-78af-49c9-8a6f-d802add78992,bf77c07c-e072-4bca-9e69-936e2f7a790d,2024-02-25 19:54:47,989.45,"Bishop, Phelps and Green",Mercado,0
f5c37806-8471-477c-8a36-012e5fd3abe2,9d88c00d-35c8-4a72-b77d-4ba96bd84950,2024-01-13 03:15:44,658.39,Castillo LLC,Padaria,0
3030a47a-d8e4-4712-8fc4-2c3d23139b6c,215f44e3-b1ca-4a54-98b6-14bf3743e2dd,2024-02-14 12:37:35,116.77,Edwards PLC,Roupas,0
eadabf24-99b6-4684-967b-a216f0175d8d,7de048a8-3483-48db-8cb9-2bf5780a9a4b,2024-01-23 02:30:50,868.68,"Morris, Wagner and Griffin",Roupas,0
be524338-9689-4142-bdc1-d33db3f87c13,bc857fd8-2e86-4956-9165-9744208ed8ad,2024-01-01 12:11:42,571.46,Johnson Inc,Entretenimento,1
f0e07cf1-d507-4624-bcd6-729358ea6b49,cde9ea74-31f9-485c-af60-b6ba9202692b,2024-03-14 08:20:26,379.87,"Moore, Williamson and Davis",Entretenimento,0
db51f50d-3c75-4c54-a53e-0e4ba4cd9892,6fbcc6be-6c48-4a09-9d5d-392000884a4b,2024-06-23 03:43:41,402.28,Weber Group,Padaria,0
0e18ab89-fee2-40b6-b093-2a926caf87b3,ca8ebffa-751b-4417-960b-ec4f2591f127,2024-05-02 15:49:59,410.11,"Kelly, Fernandez and Lewis",Eletronicos,0
573ba935-95dc-428e-83a9-14e22b124924,6fb7d88a-2f59-4608-bd6e-01fd448e1fb4,2024-04-01 03:17:25,408.75,"Mcdaniel, Davis and Hoover",Eletronicos,0
89c9d9c7-4ad1-4468-a618-f276e5b64953,40d8b65c-d60a-4698-8b22-85f6efda6850,2024-06-29 12:52:54,951.43,"Mcgee, Glass and Ellison",Eletronicos,0
3d05c417-e194-459c-860d-46b5f1b5e965,be6e0471-ae0f-4e49-944b-5ac189555433,2024-06-02 08:46:13,312.38,Mcgee Inc,Roupas,0
71592d80-8552-4c0c-9270-b5387c95c901,c3eb7f9d-18d5-4100-b377-2e3a0563913b,2024-06-17 06:05:14,259.73,Arellano LLC,Roupas,0
60b252aa-93b9-44ee-a8de-d509c068b365,0e67bcfa-7243-46d3-9898-931c5d233675,2024-05-31 10:17:51,204.79,"Andrews, Jones and Sandoval",Roupas,0
4c00e080-e1c6-463a-8185-f4bdfb4fad4a,d4aa0518-e639-4b77-9820-176d09f0c2de,2024-02-01 10:03:23,797.12,Bowman Ltd,Viagens,0
3dd8ae52-c3ff-463e-b333-7294eefb98f4,dd48c10a-c5a2-4091-a097-e72aab73155c,2024-06-30 15:54:19,871.23,"Reed, Villa and Reed",Entretenimento,0
7f7f7e95-fa7b-4c37-b367-55f7c1fcd1df,079c1c03-5fae-4fe1-a1af-e5699dfcf439,2024-05-11 13:07:58,785.46,Bishop PLC,Mercado,0
aaac86b2-72b0-4a06-afad-924822f307a7,97e3f5ed-9c5c-4a72-84fb-cce265694e8d,2024-02-18 01:43:29,496.49,"Schroeder, Davis and Holden",Padaria,0
4bf49199-05bf-4826-851b-35c41af30e55,05f7e22c-b11d-4ad9-8970-f8032c1d4037,2024-04-07 16:36:54,382.55,"Moore, Lane and Cooper",Entretenimento,0
1a14161e-4db9-4c3f-9b27-171ccb4ea8b5,52f10d73-012d-4dad-8365-0376aa927b55,2024-06-19 05:12:50,688.68,Cobb-Cole,Roupas,1
5f0a6763-57fc-460a-b40e-7f9dd49cf9cd,a2d75e58-926a-46da-83fd-e3752cb5cab4,2024-05-17 18:37:32,623.15,Bates-Miles,Viagens,0
a11425e9-038e-4ffa-a50f-a451fe303a16,bb661b85-905e-440d-9cb5-e40727c95616,2024-05-04 13:40:47,491.53,"Stewart, Pham and Collins",Viagens,0
281e325b-5a65-4ba5-939c-53a986acb499,3c8f4fca-9c43-4cc9-914b-08090529af1c,2024-01-11 14:23:25,982.57,Wilson-Perez,Padaria,0
07aead3c-9008-4877-ae51-0fb1998942ce,18ee0a59-07d5-4a62-9dab-2b90993638d9,2024-05-22 15:09:10,49.92,Olson PLC,Padaria,0
f82423d5-a2e0-4f14-a6a8-d81629057002,3b4ecb69-b0b6-48b5-9d5f-7c0392d44ad6,2024-02-22 20:38:57,301.77,Guerrero and Sons,Roupas,0
7a68305e-3ab1-404f-a866-b62ac9e8347b,996d187f-187d-4d6b-a3e1-158fcf4ce261,2024-01-02 16:49:02,995.84,"Bailey, Davis and Diaz",Viagens,0
c78daff8-3461-44d4-b73b-e6bef567de01,f2104375-7476-47f5-8b31-6bee12c1698d,2024-04-16 08:42:37,248.59,Miller-Brock,Mercado,0
07aa2a69-2a55-4c59-94bb-ad2203f60122,fe720029-bf0c-4c0f-8bd3-aa681f139444,2024-06-04 05:50:32,337.0,Colon-Bray,Viagens,0
bfa7c890-babc-447f-b64b-737d9e3743b0,890450dc-db5e-41a2-8009-91288b3fb3dc,2024-03-06 05:42:42,698.24,Blackburn-Palmer,Eletronicos,0
447084d2-a253-481f-a8ef-dbb6559abd2d,6552d25e-88ee-4e98-8980-d346fc1ba3e2,2024-01-27 02:44:23,384.02,Ramirez-Atkinson,Mercado,0
f62a8b1d-a943-42bd-a710-471729774531,35514663-2678-4abf-850a-c130803df9c6,2024-04-15 20:39:38,581.43,Schmidt-Davis,Roupas,0
80f78a7d-2fa6-4c42-88b8-6b797b80a3f6,a49a332f-4142-46f3-a076-add75a3e2da8,2024-05-24 08:14:46,12.81,"Price, Owen and Grant",Padaria,0
50d59a2c-6c47-4cc3-a1e2-93764a0ab16c,ba516be4-7dfb-4190-aa91-42ff6c2d2db9,2024-04-30 18:59:59,383.48,Leon-Ferguson,Mercado,0
058d582a-cc8e-483d-b5bd-1be978719365,165a57c3-984c-40fb-a6d3-b46f5b3076ba,2024-03-06 09:27:43,440.88,"Ramos, Wong and Wagner",Padaria,0
2853b504-1154-401a-ac13-4fa1e332488c,d484eeb1-1657-4c51-accd-a69f4749ca78,2024-04-28 06:17:34,312.36,Nash Ltd,Eletronicos,0
97bad14d-f72c-4aec-8359-d3ba4e4e7a70,f4a9f5dc-38c9-4ba3-bbbc-489c6fc6939a,2024-06-16 00:20:50,981.18,Foster-Wagner,Mercado,0
365f4050-aaa8-49c9-8ab8-fdbf3a489453,10341d8f-14c3-494b-95b9-8544fcfd3399,2024-04-06 05:24:25,734.29,"Harvey, Fuller and Lane",Viagens,0
7af28376-7818-49a6-9d95-b38a4916f9f5,aac3d166-3013-43a9-a5a7-da2fed465e2e,2024-03-24 14:37:51,691.76,Smith-Bauer,Viagens,0
459e88c4-a563-4c2b-b040-836fb5a34d9d,334fe338-8056-446e-8e83-98dbc056ee81,2024-04-12 00:38:35,929.44,Clark-Russell,Mercado,0
6136c888-0dc8-4798-8cb0-7fbf8b9d55e0,10bce620-40be-4f20-823c-b5b847271750,2024-01-06 20:23:48,106.64,Smith-Sanders,Roupas,0
fe537853-2f09-4834-86c6-615810ebe40c,cf769f54-259d-48c0-855c-f06d23a4c403,2024-02-13 01:33:06,176.58,Anderson-Hayes,Padaria,0
680ae441-8f8f-418d-91f4-a9a7abb7fe44,986e882a-2f1e-47e5-b53b-541a5480cfdc,2024-03-31 09:45:15,134.54,Medina-Smith,Entretenimento,0
3df282f7-8955-4aa1-a812-4304ac433735,1b5b86f3-f1f8-4bd9-80fa-6fd8e0cd5353,2024-03-14 03:20:24,14.46,Marshall PLC,Mercado,0
804db577-0e86-4ec6-b04a-630b3dfdbc12,c384c198-e39c-4386-8338-f1ce8847f1d0,2024-04-24 15:52:01,331.01,"White, Welch and Wise",Entretenimento,0
ac1187b5-3a36-40ec-b8dd-1a2120a4400a,0ae62a4b-4e62-4012-8573-8e70aa60474c,2024-02-16 22:56:57,260.72,"Johnson, Terry and Watts",Entretenimento,0
eb52ded8-d4bb-4315-8276-b160568f10f0,cf68d639-53f2-4cd7-ba2d-f08bddf429ae,2024-01-29 04:57:15,632.83,Bell-Daniels,Eletronicos,0
f9d5726b-66a3-49c7-93f4-c729f475633c,22d5a51b-5c1d-41c0-ab5b-10fb5b6b590f,2024-06-28 20:31:24,334.79,Smith-Carter,Eletronicos,0
5193946a-9ab5-43ea-b11b-80148025ee82,70eee5fa-6495-40c6-b48e-2d7191d562f6,2024-05-09 10:53:37,339.62,Rodriguez-Petty,Mercado,0
ce9e273a-7da1-4fd4-910d-4e93246a09d2,e4a552d2-51b7-4b0f-ab6f-fd201d515bf9,2024-01-23 13:48:51,671.13,"Welch, Anderson and Whitaker",Roupas,0
2d97db60-f82c-4d47-81e3-c8fed1aedf34,e9b9822a-ea4d-4f14-9c1f-c88db71525e4,2024-01-25 12:37:40,799.82,"Hoffman, Anderson and Smith",Viagens,0
7ba0b1b4-92f0-4f7a-a137-1e59d64391bb,d67ed6c8-b949-4380-8785-5889cbf0d7a6,2024-03-16 19:23:51,718.99,"Wright, Rocha and Hurley",Eletronicos,0
4821f253-812e-4f6f-97ce-20ff373b536f,ec421ba0-5080-46e8-a655-6daac2a62655,2024-06-11 04:17:29,418.71,Woods-Haas,Eletronicos,0
50689591-b442-4e51-9b8a-d6d1bc3a9700,ee4b5a29-1377-4ab6-8bdd-78443a481c00,2024-02-22 20:08:51,188.86,"Lopez, Sexton and Krause",Padaria,0
5961b8f5-dad0-4453-a113-114e8dc39327,2246ce10-5e17-49e0-9f4f-431b916c1384,2024-06-22 18:36:51,218.07,Evans and Sons,Entretenimento,0
ad9862ba-c8c6-4320-9859-a7a51397e019,369d0ffd-f0d2-44f1-bc50-09e1d7f96512,2024-06-26 04:21:07,760.82,"Carter, Nguyen and Cantu",Viagens,0
5bef09f9-9ea9-432a-a219-976a170967e8,9dcec32b-d30a-49ec-8eea-002cddfce1b2,2024-01-30 01:31:29,600.69,"Lewis, Werner and Ramos",Viagens,0
39c62607-2b82-4c4b-ad61-9ed74460cd8d,7b11e2e8-a06a-4553-9129-36c8b05d76b1,2024-01-07 20:00:56,615.38,Oneill and Sons,Viagens,0
8ad0510f-10ad-4a5c-a40c-8c5866ec2275,b68bd607-d2de-4f1d-864b-6cdd5600474b,2024-06-03 00:53:42,116.88,Moreno Inc,Mercado,0
bff4e6d0-0bbf-4d73-bd4c-a5ca997d853f,5c67c2d2-1bd5-481a-9b4f-74f331dad66d,2024-01-21 03:02:54,525.45,Macdonald-Little,Eletronicos,0
56f67b87-988d-4aa3-af57-e3995b317dd5,f5b3c97a-c088-4420-86a8-02b2eb8337e6,2024-04-26 13:27:57,428.22,Ford-Davis,Padaria,0
3b980a95-6fa4-468f-a2e3-255c1a694e8f,05618beb-03c5-4e99-b2b5-9e7fbc96c70f,2024-06-21 18:59:09,187.5,Duke Group,Padaria,0
b67ef09e-96fb-44bd-a7c4-89978c19c743,148da001-3591-4d70-b05b-e6315ac55a45,2024-04-16 16:35:19,725.7,Williams-Moore,Entretenimento,0
af96998b-5080-4342-8186-c6fc636c2795,d66e9f7c-8797-453f-b610-6f28c910d754,2024-04-26 20:39:28,848.82,Harris Inc,Viagens,0
ff007d55-2da7-4834-a517-eafdda99c98b,e8b8d834-07d3-4878-adb4-4c9077620288,2024-05-17 12:20:22,675.56,Wright and Sons,Viagens,0
31c25f58-bf60-4175-9dc3-c9c578ab0e4d,cc90c141-2297-408c-b6ab-985527b9efa2,2024-03-30 18:50:03,969.74,Jones and Sons,Eletronicos,0
406153d9-ab43-4fde-939c-d7eb5ae79fa3,4223a13d-b73d-4737-a0b0-106d5339fdd9,2024-03-27 17:31:23,102.36,Hayden and Sons,Mercado,0
dd5f5a14-9246-4180-9753-bd6d19303948,89c93e52-ae57-4a84-a967-81c8d9c556c3,2024-06-22 20:23:05,843.03,"Miranda, Mcdonald and Moore",Roupas,0
44f598b2-77e6-496b-9a7a-381cc262c609,6df436c6-360f-41f1-9b29-2a616a45d2fc,2024-03-26 19:20:12,701.29,Cole Inc,Eletronicos,0
2519a0b4-a4d7-4021-abcb-70682d451107,4f1a51cd-30c6-4888-969e-b843ecdc35bd,2024-05-22 18:55:57,790.39,"Tyler, Landry and Stephens",Padaria,0
3da7f5ef-9991-4488-99e7-e2f90e57ce2c,2c750a6c-bc96-4f58-9570-83176029ff04,2024-05-09 22:17:50,247.86,Stewart LLC,Mercado,0
ea6941c0-e132-4a3c-bf10-4059b427c352,80b5a947-484f-44ba-a7bc-fe0794c32885,2024-05-18 18:36:35,209.13,Church and Sons,Entretenimento,1
128620c4-2ce7-4a75-9260-dfbbfb363802,0b9dc3ba-85a7-4ad6-b25b-1e13786a3fa5,2024-01-05 18:39:50,760.72,"Spencer, Rivera and Franco",Roupas,0
98b66956-b110-4572-93fb-8186184ad0bf,442b1019-9642-4433-bd82-4c987cb62a49,2024-01-21 22:29:34,481.99,Perez LLC,Eletronicos,0
0d1c04af-8474-4a4a-8337-e683f9f75cd8,f0969b03-0001-46ee-90bd-dfb82ae36a16,2024-04-19 09:21:40,861.65,Lawrence PLC,Roupas,0
1f9120c1-6ceb-4cc4-97e8-c9c1060a8363,0f75b9d0-1da4-44a7-8602-a806d35572f2,2024-05-15 00:28:10,305.69,"Pearson, Jones and Mcdaniel",Padaria,0
31b827e6-3c39-43a3-934b-9d27c2a77f14,890b43c4-51cb-458c-a26f-9fed0ca46279,2024-07-04 00:29:41,859.19,"Mason, Whitehead and Price",Roupas,0
c4c5dc90-bd2b-4d36-aca2-30591b977c1a,ab967690-26e0-4a79-b48a-d0d4a802a719,2024-04-08 22:20:01,192.8,"Mcdaniel, Davis and Schmidt",Padaria,0
8d70a8b7-7b01-4fa9-94aa-04fde8ccbe30,d67fd32a-fb3f-4584-9841-c2b5e0e5e4e9,2024-02-21 21:06:01,74.35,Baldwin PLC,Roupas,0
43685c9b-e862-4751-8640-e657486161d0,7ab19e35-27c0-4bb8-8ea5-3262517ca446,2024-06-18 12:39:36,707.22,Fitzgerald-Newman,Mercado,0
7bef7481-2651-48eb-b716-d7d1acd0c806,b4ff28a6-0a28-4c74-9b2d-877482c4548a,2024-03-20 15:54:51,469.94,Fisher-Carrillo,Entretenimento,0
7c28c036-ca07-49fc-8b37-462043395f68,39061c15-3e8a-40c1-bb8e-6e0f50e4a215,2024-06-23 01:21:39,434.38,Miller PLC,Mercado,0
c51e1e15-c1a5-4625-ac8e-d434ea5b5752,80ea5f43-5b20-46c6-956f-a06ae506e813,2024-01-25 03:53:20,787.95,"Simmons, Jordan and Hernandez",Viagens,0
d3cfd173-9cb3-4ee9-a127-0944ad992e13,673d3027-5504-4ae2-8181-4a09d02c28dd,2024-02-01 10:49:36,491.51,Johnson LLC,Eletronicos,0
c2a9e489-3fd4-4ddf-a1f9-2c80f68ce911,815ed9db-8138-46bb-bedd-f59a5e7ef2ed,2024-03-28 10:09:02,580.03,Tapia LLC,Viagens,0
b6745d07-26ad-4854-9c30-323476d1c88b,c9e58d25-67dc-4b72-ac65-da93da0421aa,2024-01-16 15:55:24,36.41,Burke Ltd,Eletronicos,0
7678c1af-fc76-496d-9e05-b921fb082465,509e4ed7-7a3c-4dfb-b1bf-a4cf2b293e72,2024-04-02 05:21:04,755.46,"Carney, Reyes and Murphy",Entretenimento,0
5470d2ee-542d-427a-98d7-03dd464ff10d,6ad39e92-4dfb-4d90-8907-29549d5b5cd8,2024-03-07 12:40:40,473.18,Fritz-Garcia,Viagens,0
7089fa39-69c3-49c4-bdbf-9f0c0620048d,3a36ed2f-a8da-47b9-a44e-fc9ef2b65929,2024-03-09 09:57:19,962.68,Jones-Barnett,Viagens,0
13a762d9-6722-435e-bd48-d9ffe3ff0bd0,36a9a9cd-8843-4df9-9fc8-fd56b9581eea,2024-04-03 05:33:00,552.92,"Olson, Walsh and Fields",Viagens,0
c7f6acfc-b209-43f6-92d2-74b3cfce47db,62d6423b-389c-4fca-81cb-d60b8354b2c4,2024-05-15 13:17:56,354.55,French and Sons,Padaria,0
a34b8c97-dcda-44f7-b4f5-d9bafd87d545,49cd14aa-49d0-4c97-b74d-6d60b8ecade0,2024-05-29 11:51:28,61.17,"Simmons, Watts and Finley",Padaria,1
84182972-2f13-4d82-94f3-f5095e32db08,9ce64200-7532-4a6d-a462-5fec96388613,2024-06-25 01:32:49,844.87,"Taylor, Mckinney and Short",Viagens,0
42804f8f-1cbc-4c2b-90fe-337ae751368f,43aa9f6a-3a4c-40da-98ed-361154d76252,2024-05-02 05:41:39,629.91,Ross Group,Viagens,0
fe432412-5acb-416c-880e-f40c1a131252,c6119ef2-2189-448f-8adb-46aa8f90c6e3,2024-04-08 16:30:23,452.86,Sweeney LLC,Viagens,0
65ae16b3-4e48-4731-a056-98fea3532106,97ba31dd-5ba7-451d-ad6e-71f9348cc6f4,2024-06-19 10:50:39,454.34,Porter Ltd,Roupas,0
7c150632-c41c-4a6e-83f0-7f6458180253,98133092-660f-4cba-a400-f80d1cb58d8a,2024-02-07 03:13:14,442.66,"Stark, Pierce and Knight",Entretenimento,0
c677a391-5ff6-4dcc-b46e-3d79acc76fd0,e1c35990-c0b8-49d7-b1f9-947c32c739d4,2024-05-13 16:30:58,542.76,"Smith, Acevedo and Wells",Eletronicos,0
c09ec4b8-02f8-45fd-8f3a-2db38fada4ce,7b38025e-e10e-4d4b-ba08-c86be6e7b113,2024-02-04 22:15:12,179.05,"Hanson, Ray and Smith",Roupas,0
f279ae18-0481-4f0f-8f57-4a79acd6f6b8,4d141f59-90fc-472c-b16d-51f2b827522e,2024-03-31 07:10:35,169.0,Howard-Walton,Roupas,0
013919ef-80ff-489b-bb53-8abef2f6c7bc,d31579f2-7a4b-4f63-942d-cce389cc6fd4,2024-02-03 04:38:50,178.97,Smith-Copeland,Roupas,0
43947a9d-f2b6-48f4-a217-0880fd5c7bd9,0a68b2a8-9d2e-47cf-bfdb-b9c376e68d87,2024-03-09 11:28:04,831.37,Hamilton and Sons,Viagens,0
0f439d78-c3e6-46c7-ad7f-30aec931bcac,b5e535dc-c44e-477f-ab5e-2fa45573b009,2024-05-14 11:21:26,706.06,Campbell-Keller,Mercado,0
5ce34007-c22d-4293-b8a5-671d6e85d9bc,46a8d83e-0118-4a38-81dd-96480d4864a5,2024-04-28 22:52:22,99.29,Bates-Marquez,Mercado,0
